transaction_date,total_transactions,actual_fraud_transactions,predicted_high_risk_transactions,total_transaction_value,actual_fraud_value,potential_exposure,fraud_rate
2024-01-01,274,9,96,29555.170000000002,3748.6399999999994,13465.16,3.2847
2024-01-02,274,4,85,28242.49,428.94,9735.630000000001,1.4599
2024-01-03,274,6,82,24620.4,1978.0,7679.84,2.1898
2024-01-04,274,4,82,20396.7,372.77000000000004,5699.72,1.4599
2024-01-05,274,9,70,27241.83,3446.7200000000003,9836.39,3.2847
2024-01-06,274,7,87,29913.94,6439.4800000000005,13850.26,2.5547
2024-01-07,274,12,96,25870.48,4428.72,10632.67,4.3796
2024-01-08,274,8,91,28085.75,1788.6,11077.34,2.9197
2024-01-09,274,15,74,27175.7,4567.24,8419.06,5.4745
2024-01-10,274,8,97,22532.14,1627.8600000000001,9594.53,2.9197
2024-01-11,274,9,107,26579.46,4153.46,11608.46,3.2847
2024-01-12,274,9,94,24375.99,373.88,8202.63,3.2847
2024-01-13,274,14,91,32139.8,8520.81,14133.16,5.1095
2024-01-14,274,10,80,28426.71,5901.26,10250.59,3.6496
2024-01-15,274,8,83,26698.12,377.6,9073.880000000001,2.9197
2024-01-16,274,5,84,26492.97,326.17,8198.33,1.8248
2024-01-17,274,6,94,24854.12,1748.0,8917.81,2.1898
2024-01-18,274,12,95,26723.02,3748.4900000000002,11747.12,4.3796
2024-01-19,274,7,97,21339.39,363.86,5883.14,2.5547
2024-01-20,274,13,96,26319.11,1036.6100000000001,7192.82,4.7445
2024-01-21,274,6,90,22962.78,1804.1,7842.05,2.1898
2024-01-22,274,8,99,26347.42,5588.7699999999995,12647.05,2.9197
2024-01-23,274,8,95,28656.56,588.9300000000001,9090.98,2.9197
2024-01-24,274,12,90,24071.87,2829.4300000000003,7429.8,4.3796
2024-01-25,274,7,84,25086.56,424.42,6213.89,2.5547
2024-01-26,274,4,97,24598.09,2334.8900000000003,10072.81,1.4599
2024-01-27,274,11,92,25200.07,770.06,6899.099999999999,4.0146
2024-01-28,274,9,78,31154.74,3899.02,11604.62,3.2847
2024-01-29,274,9,100,23693.23,577.36,7117.03,3.2847
2024-01-30,274,8,90,26620.12,1465.6299999999999,7614.86,2.9197
2024-01-31,274,3,87,21259.83,306.65,5738.28,1.0949
2024-02-01,274,7,88,21909.65,493.4,6240.95,2.5547
2024-02-02,274,9,98,23746.9,1299.82,8064.65,3.2847
2024-02-03,274,11,93,19705.05,764.78,6590.24,4.0146
2024-02-04,273,2,94,21515.86,255.05,7209.93,0.7326
2024-02-05,274,8,81,25909.43,2505.8199999999997,7836.16,2.9197
2024-02-06,274,9,93,34933.12,12081.21,19158.02,3.2847
2024-02-07,274,7,86,27649.81,4675.92,11653.34,2.5547
2024-02-08,274,9,89,27846.01,4340.03,10810.94,3.2847
2024-02-09,274,10,96,27622.53,1774.84,8973.88,3.6496
2024-02-10,274,6,88,29282.65,2979.46,8704.74,2.1898
2024-02-11,274,5,76,28069.68,2466.22,10057.24,1.8248
2024-02-12,274,4,84,22561.13,1058.33,6592.48,1.4599
2024-02-13,274,8,93,23142.66,660.31,6379.59,2.9197
2024-02-14,274,9,94,25975.6,504.32,9610.36,3.2847
2024-02-15,274,4,92,26118.15,266.15999999999997,7096.62,1.4599
2024-02-16,274,4,95,21216.85,489.25,7474.0599999999995,1.4599
2024-02-17,274,6,88,24645.16,589.0600000000001,7365.67,2.1898
2024-02-18,274,7,92,19770.89,1689.32,6563.07,2.5547
2024-02-19,274,13,86,26730.52,4234.96,9807.99,4.7445
2024-02-20,274,3,82,25683.15,188.96999999999997,7756.7,1.0949
2024-02-21,274,8,95,24863.16,528.45,9204.3,2.9197
2024-02-22,274,11,90,24184.05,5323.49,11575.66,4.0146
2024-02-23,274,8,97,28535.99,2166.72,9386.59,2.9197
2024-02-24,274,9,80,26136.6,4731.51,10929.01,3.2847
2024-02-25,274,6,89,25929.64,246.05,7787.91,2.1898
2024-02-26,274,8,91,30177.83,732.05,12872.17,2.9197
2024-02-27,274,8,95,25019.62,3776.6400000000003,11758.77,2.9197
2024-02-28,274,7,86,22409.3,1622.43,6719.82,2.5547
2024-02-29,274,4,72,22731.61,1823.69,6445.75,1.4599
2024-03-01,274,8,93,27780.850000000002,509.66,9143.1,2.9197
2024-03-02,274,11,84,30975.75,9560.61,14459.97,4.0146
2024-03-03,274,6,90,27396.3,4657.31,10269.75,2.1898
2024-03-04,274,9,85,24915.34,408.65,6116.9,3.2847
2024-03-05,274,10,99,25581.42,1719.53,9454.74,3.6496
2024-03-06,274,7,87,24067.43,2354.4300000000003,10111.68,2.5547
2024-03-07,274,5,98,23394.39,397.28000000000003,9398.34,1.8248
2024-03-08,274,6,89,20801.44,255.79,7170.41,2.1898
2024-03-09,274,9,89,28873.61,3083.88,9909.31,3.2847
2024-03-10,273,8,99,25210.48,988.64,10167.15,2.9304
2024-03-11,274,6,79,26614.25,456.90000000000003,9414.03,2.1898
2024-03-12,274,6,86,24079.49,1561.7499999999998,7049.36,2.1898
2024-03-13,274,6,91,26703.53,2981.3700000000003,10061.18,2.1898
2024-03-14,274,8,80,25515.670000000002,2166.6,7239.1,2.9197
2024-03-15,274,8,76,19764.59,364.29,4254.33,2.9197
2024-03-16,274,3,86,24104.16,1841.92,8780.82,1.0949
2024-03-17,274,13,90,22633.11,893.36,6906.96,4.7445
2024-03-18,274,7,83,26204.12,2212.49,7531.72,2.5547
2024-03-19,274,6,89,27577.26,5205.59,12775.61,2.1898
2024-03-20,274,7,74,27963.38,1520.79,7771.19,2.5547
2024-03-21,274,9,100,24947.32,3006.11,9577.89,3.2847
2024-03-22,274,7,94,22876.29,343.51,6925.69,2.5547
2024-03-23,274,8,91,29349.44,3098.1,11182.88,2.9197
2024-03-24,274,5,74,21979.57,404.87,4969.24,1.8248
2024-03-25,274,12,86,19911.77,764.6,6694.66,4.3796
2024-03-26,274,7,94,28737.85,1162.61,10178.11,2.5547
2024-03-27,274,8,89,24993.21,2017.3700000000001,7287.31,2.9197
2024-03-28,274,10,95,26445.52,2593.82,11339.97,3.6496
2024-03-29,274,5,98,24432.4,1243.32,8193.61,1.8248
2024-03-30,274,8,78,29856.16,3153.72,9780.88,2.9197
2024-03-31,274,13,81,26244.3,3015.2,9230.78,4.7445
2024-04-01,274,9,92,20634.92,429.48,6907.73,3.2847
2024-04-02,274,10,84,30175.11,2873.55,10775.1,3.6496
2024-04-03,274,10,93,32104.02,3522.32,11824.140000000001,3.6496
2024-04-04,274,8,94,23674.11,1861.56,7796.77,2.9197
2024-04-05,274,8,96,24063.14,298.32,7635.49,2.9197
2024-04-06,274,6,89,25796.46,2720.55,12106.11,2.1898
2024-04-07,274,12,95,22431.96,2358.0,8158.43,4.3796
2024-04-08,274,5,83,32124.6,497.27,12723.87,1.8248
2024-04-09,274,8,81,31727.46,2419.48,9590.62,2.9197
2024-04-10,274,10,88,25665.93,4283.12,11026.72,3.6496
2024-04-11,274,5,89,22486.44,226.27,6500.5,1.8248
2024-04-12,274,10,86,25940.3,1080.97,6583.49,3.6496
2024-04-13,274,12,93,29696.09,7162.250000000001,14687.9,4.3796
2024-04-14,273,7,93,22135.4,1819.99,6597.64,2.5641
2024-04-15,274,10,87,37023.409999999996,10494.16,18384.54,3.6496
2024-04-16,274,8,87,23041.54,1492.4299999999998,7909.92,2.9197
2024-04-17,274,8,83,26257.83,322.23,6564.37,2.9197
2024-04-18,274,6,99,22166.03,845.45,8767.54,2.1898
2024-04-19,274,9,79,24680.99,3087.86,8754.32,3.2847
2024-04-20,274,8,100,24589.97,3222.35,10168.05,2.9197
2024-04-21,274,12,85,23036.96,2011.8400000000001,6915.32,4.3796
2024-04-22,274,10,96,19875.43,735.97,7265.07,3.6496
2024-04-23,274,4,89,23882.4,1529.37,7350.0,1.4599
2024-04-24,274,10,84,23843.08,1828.13,7621.55,3.6496
2024-04-25,274,12,89,27180.58,3194.41,11454.27,4.3796
2024-04-26,274,4,92,22927.87,1236.98,8500.17,1.4599
2024-04-27,274,5,96,25324.72,1576.6499999999999,9115.93,1.8248
2024-04-28,274,6,98,22554.8,294.56,8347.93,2.1898
2024-04-29,274,6,105,36301.61,2766.5600000000004,21297.02,2.1898
2024-04-30,274,2,91,24823.41,79.28,6723.77,0.7299
2024-05-01,274,6,93,21584.3,180.19,6899.36,2.1898
2024-05-02,274,9,80,23830.78,720.51,6563.16,3.2847
2024-05-03,274,10,105,23575.04,2737.6,10028.710000000001,3.6496
2024-05-04,274,10,102,26385.16,2308.14,9289.56,3.6496
2024-05-05,274,6,86,23033.54,320.79,6366.06,2.1898
2024-05-06,274,7,93,21811.01,444.63,6351.01,2.5547
2024-05-07,274,6,95,26511.079999999998,2125.78,9200.75,2.1898
2024-05-08,274,7,103,24291.3,2647.83,9778.869999999999,2.5547
2024-05-09,274,7,81,25113.79,3432.6800000000003,10267.02,2.5547
2024-05-10,274,14,112,22883.13,1460.33,10059.67,5.1095
2024-05-11,274,9,84,23424.09,3641.23,9817.66,3.2847
2024-05-12,274,8,81,30037.11,465.16999999999996,10034.86,2.9197
2024-05-13,274,7,91,23984.78,427.33,7464.02,2.5547
2024-05-14,274,5,82,24148.56,1369.9199999999998,7638.53,1.8248
2024-05-15,274,9,101,26293.02,3651.71,9961.3,3.2847
2024-05-16,274,3,78,25678.52,113.66,8145.36,1.0949
2024-05-17,274,4,87,25749.81,263.71,7153.17,1.4599
2024-05-18,274,8,100,26647.55,4285.92,12880.95,2.9197
2024-05-19,273,5,87,22206.04,552.88,6908.88,1.8315
2024-05-20,274,5,95,24092.82,173.79,5405.82,1.8248
2024-05-21,274,10,96,25885.5,1701.8999999999999,8466.56,3.6496
2024-05-22,274,9,88,24148.54,1802.92,8673.29,3.2847
2024-05-23,274,12,88,25959.73,3073.74,8310.32,4.3796
2024-05-24,274,11,85,28184.16,5203.33,12362.57,4.0146
2024-05-25,274,7,100,25804.04,4753.71,12415.369999999999,2.5547
2024-05-26,274,11,98,26702.19,1938.9,10313.69,4.0146
2024-05-27,274,4,91,21873.11,222.18,7236.03,1.4599
2024-05-28,274,8,100,23214.77,2894.1400000000003,8999.67,2.9197
2024-05-29,274,8,91,21379.57,1276.3999999999999,7940.88,2.9197
2024-05-30,274,8,89,23397.66,3049.2,9716.04,2.9197
2024-05-31,274,7,81,22138.33,317.64,7137.63,2.5547
2024-06-01,274,10,77,24890.54,3004.8,7388.55,3.6496
2024-06-02,274,11,97,28679.6,4614.55,12747.55,4.0146
2024-06-03,274,9,96,21519.25,861.49,8661.09,3.2847
2024-06-04,274,5,89,24458.73,796.29,6307.2,1.8248
2024-06-05,274,8,90,24401.93,3522.1000000000004,9820.02,2.9197
2024-06-06,274,7,76,28394.48,2076.23,7216.38,2.5547
2024-06-07,274,7,92,23160.88,2827.7700000000004,8708.94,2.5547
2024-06-08,274,12,77,25357.16,1803.8400000000001,10281.619999999999,4.3796
2024-06-09,274,7,68,22985.52,343.78,5679.31,2.5547
2024-06-10,274,10,94,23399.74,1707.75,9218.98,3.6496
2024-06-11,274,11,98,25733.43,969.39,9004.87,4.0146
2024-06-12,274,7,81,21219.14,784.06,6111.85,2.5547
