State_Name,City,"Round(AVG(Mean),1)","Round(AVG(Median),1)"
Alaska,"Delta Junction",242857,300000
"New Jersey","Short Hills",216503,300000
Pennsylvania,Narberth,194426,224616
Maryland,"Chevy Chase",194157.5,259355.5
Connecticut,Darien,192882,300000
Virginia,"Great Falls",192103.5,215673.5
"New York",Pelham,190909,212250
Virginia,Chantilly,190865,300000
Virginia,Mclean,188414,246832.3
"New York",Bronxville,188005,244249.5
California,"Agoura Hills",182475,300000
Virginia,Ashburg,181788,196717
"New York",Albertson,181057,194521
Illinois,Winnetka,180180,209201
Pennsylvania,Gladwyne,178869,300000
California,"Portola Valley",177665,209259
"New York",Rye,176084,197818
Massachusetts,Weston,175409,300000
"New Jersey","Upper Saddle River",174859,165643
California,Hillsborough,173210,202760
Illinois,Glencoe,172218.5,188435
California,Moraga,171929,189167
Maryland,Clarksville,170772,180731.5
"New Jersey","N Caldwell",170374.5,199745
Massachusetts,Wellesley,169853,300000
Connecticut,"New Canaan",169270,196230
"New Jersey",Manalapan,168254.5,220545.5
"New Jersey","Little Silver",168139,167235
"New Jersey",Lincroft,168103,300000
Washington,"Mercer Island",167705.5,239588
Virginia,Clifton,167544,175447
Colorado,"Cherry Hills Village",167533,200736
Massachusetts,Dover,166918,183108
"New Jersey",Ridgewood,166789,175023
"New Jersey","S Orange",166307,300000
"New Jersey","Essex Fells",166235,158471
"New Jersey","Glen Rock",165661,300000
"New Jersey",Califon,165370,174383
"New Jersey","Englewood Cliffs",165326.5,222782.5
California,"Los Altos",165306.8,243482.6
California,Ross,164985,184260
Missouri,"Town And Country",164799,185267
"New Jersey",Rumson,164625.5,229438
"New Jersey",Oakland,164415,300000
California,"La Canada",164286,250560.7
Colorado,Superior,164114,171269
Illinois,"Lake Forest",164027,176377.5
Illinois,"South Barrington",164017,174192
"New Jersey",Randolph,163904,227578.5
Massachusetts,Sudbury,163820.5,236812.5
California,Cypress,163746.5,235034
Connecticut,Wilton,163612.7,300000
California,"Manhattan Beach",162495.2,181582.5
Missouri,Brentwood,162436,300000
"New York","Pound Ridge",161993,300000
Maryland,Fulton,161706.5,224571.5
Nebraska,"Boys Town",161310,234241.5
"New Jersey",Verona,161195,300000
Illinois,Hinsdale,160991,197092
"New Jersey",Haworth,160653,300000
Wisconsin,"North Lake",160423,183198
"New York","Rye Brook",160145,300000
California,Saratoga,160094.7,207993.7
Maryland,Bethesda,160056.8,218528.3
"New Jersey",Holmdel,159715,300000
"New Jersey",Haddonfield,158768,243523.3
Pennsylvania,Berwyn,158724,174222
Texas,Southlake,158531,300000
"New York",Manhasset,158429.3,208741.3
"New York",Thornwood,158331,167462
Illinois,"Western Springs",158227,300000
Arizona,"Paradise Valley",158195,174901
Illinois,"River Forest",157950,166684
"New Jersey",Westfield,157914.5,300000
Massachusetts,Southborough,157890,157833
Virginia,Oakton,157812.7,163092.7
Texas,Fulshear,157504,170399
California,Lafayette,157484,236251.7
Virginia,"Fairfax Station",157464.3,235828.7
"New Jersey","Pine Brook",157448,300000
"New Hampshire",Hanover,157407,300000
Florida,"Southwest Ranches",156828,173899
"New Jersey","Berkeley Hts",156657,165438
"New York",Scarsdale,156627.8,187155.5
California,"San Marino",156600,171149.5
"New York","Cold Spring Harbor",156563,300000
California,"Coto De Caza",156168,300000
Pennsylvania,"New Hope",155990,300000
Washington,Sammamish,155794.8,219318.5
Connecticut,Fairfield,155065.9,198304.1
"New Jersey",Tenafly,154902.3,191266.3
"New York","Mount Sinai",154709,141212
Maryland,Potomac,154307.2,155727.2
Maryland,"Ellicott City",154167,229817.4
"New Jersey",Princeton,154159.8,211393.8
Pennsylvania,"Chester Springs",154156,156872.5
"New Jersey",Kinnelon,153773,166006
Pennsylvania,Radnor,153628,160799
Massachusetts,"West Newton",153619,300000
California,"Corte Madera",153399,300000
"New Jersey",Mountainside,153091,175655
Connecticut,Avon,152937,300000
California,"Solana Beach",152893,180180.3
"New Jersey",Dayton,151913,300000
Massachusetts,Carlisle,151855,152284
California,"El Dorado Hills",151688.3,210779.7
Maryland,Olney,151612.5,263163
Illinois,Flossmoor,151344,142242
California,Cupertino,151270.8,198412.8
Connecticut,Ridgefield,151236.3,210461.3
California,Calabasas,151185,300000
Virginia,Ashburn,151125.8,209025.3
Maryland,Burtonsville,151110,300000
California,Orinda,150793.8,265632.2
Illinois,Lincolnshire,150702,148103
"New York",Ardsley,150582.3,216070.7
"New York","Yorktown Heights",150575,143919.3
California,"Palos Verdes Estates",150223,157006
Connecticut,Westport,150009,156053.3
California,Atherton,149965,158571.5
"New Jersey",Sparta,149641,300000
Colorado,"Gold Hill",149502,300000
"New York",Syosset,149357,243817
Maryland,Crownsville,149349,300000
Virginia,Bristow,149234,217355
Texas,Argyle,149017,228007.5
Massachusetts,Bolton,148988,300000
Massachusetts,Wayland,148946.5,152287.5
"New Jersey","Upper Montclair",148755.5,300000
"New York",Jericho,148568.3,152384.3
